series,asset,period,n,dt,e_kappa,e_theta,e_sigma,m_kappa,m_theta,m_sigma,m_success
USDC_lend,USDC,FULL,26207,0.00011415525114155251,2088.6635891329083,4.976828618287385,90.66863628542514,18.451802868561845,2.0,10.0,True
WETH_borrow,WETH,FULL,26207,0.00011415525114155251,1399.3422805307664,2.8614348285298976,22.378199383130433,113.7953005716869,2.0,10.0,True
