spread_perturbation_c,spread_multiplier,optimal_h0,optimal_H0,optimal_initial_leverage,max_expected_killed_payoff,optimal_p_surv,optimal_conditional_mean,optimizer_at_upper_bound,H0_grid_min,H0_grid_max,H0_grid_count
-1.0,0.0,0.6931471805599453,2.0,1.639344262295082,0.9845181887696021,0.9999999597771693,0.9845182283697121,1.0,1.0684931506849316,2.0,101.0
-0.95,0.050000000000000044,0.6931471805599453,2.0,1.639344262295082,0.9874403501525367,0.9999999634401798,0.9874403862531796,1.0,1.0684931506849316,2.0,101.0
-0.9,0.09999999999999998,0.42194949550929883,1.524931506849315,2.0470761309304892,0.991011039810759,0.9996549810624135,0.9913530753956051,0.0,1.0684931506849316,2.0,101.0
-0.85,0.15000000000000002,0.38460987221936743,1.469041095890411,2.1320079522862825,0.9951081814785825,0.9990697097181478,0.9960347829575547,0.0,1.0684931506849316,2.0,101.0
-0.8,0.19999999999999996,0.3654038591552184,1.441095890410959,2.1798590965602984,0.9993886816302033,0.9985270558879125,1.0008628967409647,0.0,1.0684931506849316,2.0,101.0
-0.75,0.25,0.3523918118073888,1.4224657534246576,2.2140724946695096,1.0038038879210085,0.9980417713009481,1.0057734223013026,0.0,1.0684931506849316,2.0,101.0
-0.7,0.30000000000000004,0.33920821644008775,1.4038356164383563,2.250329380764163,1.0083383564002553,0.9973966944941601,1.0109702207421534,0.0,1.0684931506849316,2.0,101.0
-0.6499999999999999,0.3500000000000001,0.3258484892501563,1.385205479452055,2.28881846989588,1.012980484666357,0.9965397770294383,1.0164977936815793,0.0,1.0684931506849316,2.0,101.0
-0.6,0.4,0.3191010931409931,1.375890410958904,2.3089655172413797,1.0177132898819383,0.9961249365026438,1.0216723350537638,0.0,1.0684931506849316,2.0,101.0
-0.55,0.44999999999999996,0.3054681634727677,1.3572602739726027,2.3512102515424775,1.0225465688102287,0.9948482291794412,1.027841774070034,0.0,1.0684931506849316,2.0,101.0
-0.5,0.5,0.2985813629098166,1.347945205479452,2.3733719247467437,1.0274676466520796,0.9942235832121188,1.0334372107052183,0.0,1.0684931506849316,2.0,101.0
-0.44999999999999996,0.55,0.2916468052411486,1.3386301369863014,2.396272682687592,1.0324729229987377,0.9935190833428864,1.0392079430671666,0.0,1.0684931506849316,2.0,101.0
-0.3999999999999999,0.6000000000000001,0.2846638234874036,1.3293150684931507,2.4199501246882793,1.0375613656522562,0.9927240122445676,1.0451659805289795,0.0,1.0684931506849316,2.0,101.0
-0.35,0.65,0.27763173659827955,1.32,2.444444444444444,1.042731106127631,0.9918261402516512,1.0513244850181747,0.0,1.0684931506849316,2.0,101.0
-0.29999999999999993,0.7000000000000001,0.27054984905393054,1.3106849315068494,2.469798657718121,1.0479792450878391,0.9908114989832735,1.057697903348143,0.0,1.0684931506849316,2.0,101.0
-0.25,0.75,0.26341745045214976,1.3013698630136987,2.4960588544403572,1.053301615890381,0.9896641184210527,1.064302116531069,0.0,1.0684931506849316,2.0,101.0
-0.19999999999999996,0.8,0.26341745045214976,1.3013698630136987,2.4960588544403572,1.0587055405306736,0.9901854226585142,1.0691992795533105,0.0,1.0684931506849316,2.0,101.0
-0.1499999999999999,0.8500000000000001,0.25623381508072446,1.292054794520548,2.523274478330658,1.0641996953430568,0.9889431878333984,1.0760979077822783,0.0,1.0684931506849316,2.0,101.0
-0.09999999999999998,0.9,0.24899820147431898,1.2827397260273974,2.5514986376021795,1.0697612917550796,0.9875350155306528,1.0832641627195796,0.0,1.0684931506849316,2.0,101.0
-0.04999999999999993,0.9500000000000001,0.24170985195520991,1.2734246575342465,2.5807884508606334,1.0753810020783843,0.9859374934354902,1.0907192486728838,0.0,1.0684931506849316,2.0,101.0
0.0,1.0,0.24170985195520991,1.2734246575342465,2.5807884508606334,1.0811022595349087,0.986615035008715,1.0957690904491022,0.0,1.0684931506849316,2.0,101.0
0.050000000000000044,1.05,0.23436799215716173,1.2641095890410958,2.611205432937182,1.0868915127639969,0.9848747375928733,1.1035835028325147,0.0,1.0684931506849316,2.0,101.0
0.10000000000000009,1.1,0.23436799215716173,1.2641095890410958,2.611205432937182,1.0927226462299582,0.9855934658923263,1.1086951000031644,0.0,1.0684931506849316,2.0,101.0
0.15000000000000013,1.1500000000000001,0.22697183053169342,1.2547945205479452,2.6428159261396424,1.0986815610731093,0.9836923247844164,1.1168955306364658,0.0,1.0684931506849316,2.0,101.0
0.20000000000000018,1.2000000000000002,0.2195205578359513,1.2454794520547945,2.6756915832842854,1.1046698690574581,0.9815251231567239,1.12546265296265,0.0,1.0684931506849316,2.0,101.0
0.25,1.25,0.2195205578359513,1.2454794520547945,2.6756915832842854,1.1107554653451126,0.9823728940802191,1.1306861905886523,0.0,1.0684931506849316,2.0,101.0
0.30000000000000004,1.3,0.21201334660135762,1.2361643835616438,2.70990990990991,1.116898613645875,0.9799932045663835,1.1397003657184213,0.0,1.0684931506849316,2.0,101.0
0.3500000000000001,1.35,0.21201334660135762,1.2361643835616438,2.70990990990991,1.1231155074845318,0.9808959508100809,1.144989442108511,0.0,1.0684931506849316,2.0,101.0
0.40000000000000013,1.4000000000000001,0.20444935058216296,1.2268493150684932,2.745554874310239,1.1294047351632903,0.9782744206980546,1.1544866259074786,0.0,1.0684931506849316,2.0,101.0
0.4500000000000002,1.4500000000000002,0.20444935058216296,1.2268493150684932,2.745554874310239,1.1357611626595023,0.9792371885170673,1.1598427592190113,0.0,1.0684931506849316,2.0,101.0
0.5,1.5,0.19682770418298343,1.2175342465753425,2.7827175954915466,1.1421830427852646,0.9763392550214333,1.1698628698076783,0.0,1.0684931506849316,2.0,101.0
0.55,1.55,0.19682770418298343,1.2175342465753425,2.7827175954915466,1.148688080798745,0.9773676403068496,1.175287612794412,0.0,1.0684931506849316,2.0,101.0
0.6000000000000001,1.6,0.18914752186435452,1.2082191780821918,2.8214971209213053,1.1552230628876212,0.9741523975443918,1.1858750907965385,0.0,1.0684931506849316,2.0,101.0
0.6500000000000001,1.6500000000000001,0.18914752186435452,1.2082191780821918,2.8214971209213053,1.161886736239686,0.9752526109146267,1.191370034016138,0.0,1.0684931506849316,2.0,101.0
0.7000000000000002,1.7000000000000002,0.18914752186435452,1.2082191780821918,2.8214971209213053,1.168530025360966,0.9763103046180804,1.196883838912342,0.0,1.0684931506849316,2.0,101.0
0.75,1.75,0.18140789752528,1.1989041095890411,2.8620013080444733,1.1753406325803395,0.9728503253563647,1.2081412751234888,0.0,1.0684931506849316,2.0,101.0
0.8,1.8,0.18140789752528,1.1989041095890411,2.8620013080444733,1.182152247734517,0.9739847131934988,1.213727722541434,0.0,1.0684931506849316,2.0,101.0
0.8500000000000001,1.85,0.17360790386170002,1.1895890410958905,2.9043478260869566,1.1890239078910638,0.9701102091228391,1.2256585867353809,0.0,1.0684931506849316,2.0,101.0
0.9000000000000001,1.9000000000000001,0.17360790386170002,1.1895890410958905,2.9043478260869566,1.1960160600540781,0.9713288582234119,1.2313193929413624,0.0,1.0684931506849316,2.0,101.0
0.9500000000000002,1.9500000000000002,0.17360790386170002,1.1895890410958905,2.9043478260869566,1.2029855778962617,0.9725022465151986,1.2370003074100469,0.0,1.0684931506849316,2.0,101.0
