h0,H0,method,p_liq,conditional_mean,conditional_variance,runtime_seconds,n_paths,n_intervals,seed,T,talbot_M
0.06624938554120066,1.0684931506849316,semi_analytical,0.38331508969266026,1.3071558751171175,0.07735633461337343,0.04351429099915549,,,,0.08333333333333333,32
0.06624938554120066,1.0684931506849316,monte_carlo,0.38224,1.3101522526103617,0.07806246249786578,13.900074415985728,25000,1008,42,0.08333333333333333,
0.09531017980432493,1.1,semi_analytical,0.2443904954126267,1.2372299635932282,0.07080597218463636,0.03909262499655597,,,,0.08333333333333333,32
0.09531017980432493,1.1,monte_carlo,0.244,1.238790200260765,0.07146506752818654,13.847921542008407,25000,1008,42,0.08333333333333333,
0.1823215567939546,1.2,semi_analytical,0.049413435130645667,1.1262704650940054,0.05816230728793004,0.03916866600047797,,,,0.08333333333333333,32
0.1823215567939546,1.2,monte_carlo,0.04956000000000005,1.1264670429440062,0.059074153782738316,13.85310120799113,25000,1008,42,0.08333333333333333,
0.4054651081081644,1.5,semi_analytical,0.00015829137310663377,1.0647483337685446,0.03276644041794374,0.04124233400216326,,,,0.08333333333333333,32
0.4054651081081644,1.5,monte_carlo,0.00024000000000001798,1.0649127447075588,0.03304822227413884,13.998617834004108,25000,1008,42,0.08333333333333333,
0.6931471805599453,2.0,semi_analytical,5.770127264881353e-09,1.0432832807638608,0.01953385443690636,0.040420500008622184,,,,0.08333333333333333,32
0.6931471805599453,2.0,monte_carlo,0.0,1.0433925054120663,0.019629289603489756,13.91011475000414,25000,1008,42,0.08333333333333333,
100.0,2.6881171418161356e+43,semi_analytical,0.0,1.0125172911704639,0.0093519231787067,0.03911191600491293,,,,0.08333333333333333,32
100.0,2.6881171418161356e+43,monte_carlo,0.0,1.0126165186569276,0.009316154887965344,14.029533041000832,25000,1008,42,0.08333333333333333,
inf,inf,no_shorting_limit_exact,0.0,1.0125172911272715,0.009351923226655678,,,,,0.08333333333333333,
