period,n,dt,shift,e_kappa,e_theta,e_sigma,m_kappa,m_theta,m_sigma,m_success
FULL,14465,0.00012710870116692033,0.018619183501836098,63.48426226505549,0.008202553397823373,1.4033007706011138,63.48426226505549,0.008202553397823373,1.4033007706011138,True
Jun2020-Dec2020,4628,0.0001265220700152207,0.018619183501836098,135.14456681432506,0.005281426415604081,1.5758648953810577,135.14456681432506,0.005281426415604081,1.5758648953810577,True
May2021,666,0.00012702942668696093,0.0017065722873698006,95.11922143188184,0.004862008776058693,1.0398579130267234,95.11922143188184,0.004862008776058693,1.0398579130267234,True
Dec2021-Feb2022,1933,0.00012737823439878235,0.0079059448116446,47.59227549364508,0.00031447187607954764,0.43946362858863736,47.59227549364508,0.00031447187607954764,0.43946362858863736,True
