h0,H0,initial_leverage,p_surv,p_liq,killed_moment_1,killed_moment_2,killed_moment_3,killed_moment_4,conditional_moment_1,conditional_moment_2,conditional_moment_3,conditional_moment_4,unconditional_mean,unconditional_variance,conditional_mean,conditional_variance,conditional_skewness,conditional_excess_kurtosis
0.030583423372080185,1.031055900621118,5.128205128205129,0.35695450104438725,0.6430454989556127,0.646183655767744,1.2684625213691425,2.697916025838774,6.20552842255952,1.8102689667089842,3.5535692018390024,7.558151019093855,17.38464819578746,0.646183655767744,0.8509092043877763,1.8102689667089842,0.2764954700093889,0.8540707811127625,1.0512396183253445
0.1342369274051286,1.1436637528329292,3.6461457293157284,0.8707461876129691,0.12925381238703093,1.1831665077595874,1.750760270910506,2.810135150177292,4.87159385439235,1.3587960815574465,2.010643624762773,3.227272413194126,5.594734635298438,1.1831665077595874,0.35087728582648814,1.3587960815574465,0.1643168335069023,0.7307225281420192,0.7399040472818044
0.237890431438177,1.2685701897986013,2.8925134888469044,0.985276650375247,0.014723349624752968,1.2163881706986497,1.6205830216260786,2.3166923915953013,3.5369777175503043,1.2345651043647312,1.6447999868959366,2.351311573975673,3.589832070214219,1.2163881706986497,0.14098283981047133,1.2345651043647312,0.12064898998083695,0.5440832100725065,0.4951239897915962
0.34154393547122547,1.4071184143585844,2.438179720746687,0.9990521336289139,0.0009478663710861257,1.1946365596922595,1.5176300430514842,2.040558956455255,2.895714033522871,1.1957699898531953,1.5190699183424095,2.042494968749245,2.8984613876000687,1.1946365596922595,0.0904735332981268,1.1957699898531953,0.08920404970889884,0.4767436100473217,0.5052818586066157
0.4451974395042739,1.5607983286611515,2.135744250428965,0.9999639128212126,3.608717878744727e-05,1.1759755257555757,1.4516489475007188,1.8773780399301947,2.5400534956632335,1.1760179649261333,1.451701335306352,1.8774457916521419,2.5401451623358526,1.1759755257555757,0.06873051032461608,1.1760179649261333,0.06868308147734781,0.48187906834324534,0.532363309823269
0.5488509435373223,1.7312625560812542,1.9209303042710346,0.9999991352281336,8.647718664489545e-07,1.162482504221117,1.4070718861643188,1.771727376776365,2.31916070518786,1.1624835095041512,1.4070731029615522,1.7717289089176804,2.3191627107345263,1.162482504221117,0.055706313544119146,1.1624835095041512,0.055705193092464134,0.4956750813025929,0.5432980317915739
0.6525044475703707,1.9203442129900588,1.7612275005558884,0.9999999861351772,1.3864822845377489e-08,1.1524430188068855,1.3752145586665196,1.6985612295320212,2.170856286515297,1.152443034785304,1.3752145777336262,1.698561253082272,2.1708563166138353,1.1524430188068855,0.04708964706979213,1.152443034785304,0.04708962930846461,0.5058033957809565,0.5487339323333904
0.7561579516034191,2.130076621486943,1.6384239100082425,0.9999999998680298,1.3197021253574803e-10,1.144722971836154,1.351463812420047,1.645351065714106,2.065573016187933,1.1447229719872234,1.3514638125984,1.6453510659312434,2.065573016460527,1.144722971836154,0.04107313017065084,1.1447229719872234,0.041073130003138614,0.5123303100861506,0.5510758581348023
0.8598114556364675,2.362715175078208,1.541522660893371,1.0,0.0,1.1386312727904189,1.3331804960415181,1.6052038176083387,1.987653667032489,1.1386312727904189,1.3331804960415181,1.6052038176083387,1.987653667032489,1.1386312727904189,0.036699320665188884,1.1386312727904189,0.036699320665188884,0.5161535092992634,0.5511177897489232
0.963464959669516,2.6207615924388317,1.463489949474305,1.0,0.0,1.1337257447249627,1.318750830145926,1.574037039968412,1.9281076777860544,1.1337257447249627,1.318750830145926,1.574037039968412,1.9281076777860544,1.1337257447249627,0.03341676589375475,1.1337257447249627,0.03341676589375475,0.5180141748452405,0.5494777161821007
