asset,side,q,threshold,n_exceed,intensity_per_year,mean_excess,delta_hat,eta
DAI,right,0.99,0.00962083938877592,7,3.8046875,0.003012408358406051,1.864317030948054e-05,334.02753294616195
DAI,left,0.01,-0.010735304616951836,7,3.8046875,0.004718134018833563,0.00026638303903646354,224.63071374346677
WETH,right,0.99,0.1123582754732165,7,3.8046875,0.03960495534683036,0.0022819823400453965,26.793149619088727
WETH,left,0.01,-0.1380379027807649,7,3.8046875,0.04838085704235746,0.013371073303816206,28.563444078037225
