metric,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,bootstrap_median,ci_upper,confidence_level,n_finite
mu1,1.1936737478491306,0.2965064446910615,1.2821980966237452,-1.8110520745259941,0.2879156216173968,2.3524783182301046,0.9,40
sigma1,0.3070735298845632,0.2754780008005728,0.03529778588707595,0.22050701035375647,0.271710405878097,0.31986954630791475,0.9,40
lam1,588.9480336584587,1122.3521085859684,302.0296927274627,754.6979066529601,1088.740897845208,1671.922426325707,0.9,40
p1,0.35712339163316015,0.3602407767044034,0.22861900280135924,0.02628957317261971,0.3531535161427444,0.7382880830508589,0.9,40
eta1_pos,0.012494016941577514,0.013407154766455523,0.009980201432235217,0.00014506576115909742,0.012176853675372974,0.027044753389329795,0.9,40
eta1_neg,0.004685388924913375,0.006986811647092017,0.0031509864649077474,0.0017434157322633983,0.007316255138016321,0.012477673989733748,0.9,40
mu2,0.4905176905850597,-0.32302253556926896,1.0605911151084348,-1.7339917521676822,-0.4789684653330561,1.1627346550265987,0.9,40
sigma2,0.24138199190738102,0.22207166307224951,0.021001281359742895,0.18341569747553851,0.22301593597235253,0.252993228956711,0.9,40
lam2,372.9539170820816,840.448477508171,207.88754949474352,564.3758670686285,820.7245801095203,1127.730886759741,0.9,40
p2,0.5077941527518268,0.35905993274647086,0.2598737330318893,0.0010000000000000005,0.33807588261207144,0.7815601421680316,0.9,40
eta2_pos,0.011054788837260047,0.009542418012216848,0.00414288548319053,0.003134141770860455,0.008801599056443607,0.01626947575101271,0.9,40
eta2_neg,0.007428569471862677,0.005955792572530894,0.0030199039749353104,0.0003790177563878101,0.006119451786213338,0.009969483124808567,0.9,40
rho,0.8575607027740672,0.8915383420580272,0.03416839164892971,0.8362201404271501,0.8895796895212534,0.9506916115101258,0.9,40
p_surv_at_reference_H0,0.9046366762977144,0.7831409134753977,0.16143038628876538,0.5009194703930107,0.8193909316190962,0.9756682770603268,0.9,40
p_liq_at_reference_H0,0.09536332370228562,0.21685908652460234,0.16143038628876535,0.024331722939673256,0.18060906838090385,0.4990805296069888,0.9,40
selected_H0,1.1625206779237804,1.2274009800555572,0.09045156985880386,1.108474047254908,1.213645869097038,1.3623958300820873,0.9,40
selected_h0,0.1505906457824958,0.20234115023448718,0.07186621225364313,0.10298249458139985,0.1936269322772282,0.3092444869426418,0.9,40
selected_initial_leverage,3.4960853718403953,3.189255391479487,0.4756751273430919,2.55899656564127,3.163540628037052,3.980707860030859,0.9,40
selected_p_surv,0.9046366762977144,0.9033192496935787,0.0021062656930441867,0.9008307177421448,0.9029706227834609,0.9073467034615108,0.9,40
selected_p_liq,0.09536332370228562,0.09668075030642147,0.0021062656930441867,0.09265329653848914,0.0970293772165392,0.09916928225785515,0.9,40
