spread_shock_c,benchmark_log_mean_spread,log_mean_midpoint,log_mean_spread,log_mean_long,log_mean_short,internal_price_growth_mu_long,internal_price_growth_mu_short,H0,T,p_liq,p_surv,conditional_mean,conditional_variance,expected_killed_payoff,conditional_skewness,conditional_excess_kurtosis
-0.3,0.6231837362862479,-0.21644720466341788,0.32318373628624775,-0.05485533652029395,-0.3780390728065417,-0.0007248298883978169,-0.28503769202364354,1.1,0.08333333333333333,0.30397520066710293,0.6960247993328971,1.189304493833495,0.06537971744992821,0.827785421666171,0.6555855617666054,0.5420289470952802
-0.285,0.6231837362862479,-0.21644720466341788,0.33818373628624787,-0.04735533652029389,-0.38553907280654176,0.00677517011160219,-0.2925376920236436,1.1,0.08333333333333333,0.3008027157232297,0.6991972842767703,1.1916110889832416,0.06564884339938026,0.8331712373311675,0.6530541103546498,0.5374319116540094
-0.27,0.6231837362862479,-0.21644720466341788,0.3531837362862479,-0.03985533652029394,-0.3930390728065418,0.014275170111602169,-0.30003769202364355,1.1,0.08333333333333333,0.2976498366394148,0.7023501633605852,1.1939271572921355,0.06591828605138961,0.8385549339647704,0.6505228493376609,0.5328741637422167
-0.255,0.6231837362862479,-0.21644720466341788,0.3681837362862479,-0.03235533652029399,-0.4005390728065419,0.021775170111602175,-0.30753769202364356,1.1,0.08333333333333333,0.29451670864235446,0.7054832913576455,1.1962526955821777,0.06618803094374304,0.8439362889747704,0.6479920855052614,0.5283480659814082
-0.24,0.6231837362862479,-0.21644720466341788,0.3831837362862478,-0.024855336520293925,-0.4080390728065417,0.029275170111602182,-0.31503769202364357,1.1,0.08333333333333333,0.291403471594755,0.708596528405245,1.198587700205716,0.0664580644670838,0.8493150833549968,0.645461705659031,0.5238623054391982
-0.22499999999999998,0.6231837362862479,-0.21644720466341788,0.3981837362862478,-0.017355336520293974,-0.4155390728065418,0.03677517011160219,-0.3225376920236436,1.1,0.08333333333333333,0.2883102600128824,0.7116897399871176,1.2009321668690949,0.06672837220367356,0.8546911015812318,0.642932082734652,0.5194114614766359
-0.21,0.6231837362862479,-0.21644720466341788,0.41318373628624794,-0.009855336520293911,-0.42303907280654185,0.04427517011160218,-0.3300376920236436,1.1,0.08333333333333333,0.28523720308023404,0.714762796919766,1.2032860907154828,0.06699893963118142,0.8600641316944497,0.6404033101258,0.514996900060134
-0.195,0.6231837362862479,-0.21644720466341788,0.42818373628624773,-0.0023553365202939602,-0.4305390728065417,0.051775170111602174,-0.33753769202364353,1.1,0.08333333333333333,0.2821844246794568,0.7178155753205432,1.2056494664025024,0.0672697527516597,0.8654339653606181,0.6378754710125762,0.5106213419118801
-0.18,0.6231837362862479,-0.21644720466341788,0.44318373628624785,0.005144663479706102,-0.43803907280654175,0.05927517011160218,-0.3450376920236436,1.1,0.08333333333333333,0.2791520433884377,0.7208479566115623,1.2080222879038622,0.06754079663555368,0.8708003977767235,0.6353489102879334,0.5062819083202519
-0.16499999999999998,0.6231837362862479,-0.21644720466341788,0.45818373628624787,0.012644663479706053,-0.4455390728065418,0.0667751701116022,-0.35253769202364355,1.1,0.08333333333333333,0.27614017251577083,0.7238598274842292,1.210404548661197,0.0678120570162144,0.8761632277800203,0.632823648807545,0.5019796871340465
-0.15,0.6231837362862479,-0.21644720466341788,0.47318373628624777,0.020144663479706115,-0.45303907280654165,0.07427517011160217,-0.36003769202364355,1.1,0.08333333333333333,0.27314892013989023,0.7268510798601098,1.212796241645553,0.06808351907226151,0.8815222578903529,0.6302999043648064,0.49771595265585455
-0.135,0.6231837362862479,-0.21644720466341788,0.4881837362862478,0.027644663479706066,-0.4605390728065417,0.08177517011160218,-0.36753769202364356,1.1,0.08333333333333333,0.27017838910175784,0.7298216108982422,1.2151973590508933,0.06835516817718834,0.8868772941418125,0.6277778986690669,0.4934877315345605
-0.12,0.6231837362862479,-0.21644720466341788,0.5031837362862478,0.03514466347970602,-0.4680390728065418,0.08927517011160219,-0.37503769202364357,1.1,0.08333333333333333,0.26722867705831577,0.7327713229416842,1.21760789270909,0.06862698946651813,0.8922281463646763,0.6252576280456633,0.48930231837291993
-0.10499999999999998,0.6231837362862479,-0.21644720466341788,0.5181837362862479,0.04264466347970608,-0.47553907280654184,0.0967751701116022,-0.38253769202364357,1.1,0.08333333333333333,0.26429987650670383,0.7357001234932962,1.220027833718634,0.06889896847822352,0.8975746279320577,0.6227393663651921,0.485153092888829
-0.09,0.6231837362862479,-0.21644720466341788,0.5331837362862479,0.05014466347970603,-0.4830390728065419,0.10427517011160217,-0.3900376920236436,1.1,0.08333333333333333,0.26139207481326865,0.7386079251867314,1.2224571727054854,0.06917108989685516,0.9029165559616362,0.6202233546637629,0.4810421696283833
-0.07500000000000001,0.6231837362862479,-0.21644720466341788,0.5481837362862478,0.05764466347970609,-0.49053907280654174,0.11177517011160218,-0.3975376920236436,1.1,0.08333333333333333,0.258505354243032,0.741494645756968,1.2248958996410193,0.06944333893833576,0.9082537511934803,0.6177096404611303,0.4769700850657519
-0.06,0.6231837362862479,-0.21644720466341788,0.5631837362862478,0.06514466347970604,-0.4980390728065418,0.11927517011160219,-0.40503769202364354,1.1,0.08333333333333333,0.25563979199657094,0.7443602080034291,1.2273440040011865,0.06971570039965802,0.9135860381100847,0.6151984759920495,0.4729382035779395
-0.044999999999999984,0.6231837362862479,-0.21644720466341788,0.578183736286248,0.0726446634797061,-0.5055390728065419,0.1267751701116022,-0.4125376920236436,1.1,0.08333333333333333,0.25279546026141253,0.7472045397385875,1.2298014745558148,0.06998815967813399,0.9189132447653138,0.6126899779229806,0.4689447155445743
-0.02999999999999997,0.6231837362862479,-0.21644720466341788,0.5931837362862478,0.08014466347970606,-0.5130390728065417,0.1342751701116022,-0.42003769202364355,1.1,0.08333333333333333,0.2499724262380737,0.7500275737619263,1.2322682996536214,0.07026070159340558,0.92423520301294,0.6101842584580025,0.46499148482440944
-0.015000000000000013,0.6231837362862479,-0.21644720466341788,0.6081837362862478,0.08764466347970601,-0.5205390728065418,0.14177517011160218,-0.4275376920236435,1.1,0.08333333333333333,0.2471707521710097,0.7528292478289903,1.2347444669426364,0.07053331082943082,0.9295517483094325,0.6076815239134139,0.4610786068022086
0.0,0.6231837362862479,-0.21644720466341788,0.6231837362862479,0.09514466347970607,-0.5280390728065418,0.14927517011160218,-0.43503769202364356,1.1,0.08333333333333333,0.2443904954126267,0.7556095045873733,1.2372299635932282,0.07080597218463636,0.9348627198513331,0.6051820611422721,0.4572035261994638
0.015000000000000013,0.6231837362862479,-0.21644720466341788,0.638183736286248,0.10264466347970613,-0.5355390728065419,0.1567751701116022,-0.4425376920236436,1.1,0.08333333333333333,0.24163170844229465,0.7583682915577054,1.23972477607154,0.07107867084726194,0.9401679604311326,0.6026859142214344,0.45336909967798444
0.02999999999999997,0.6231837362862479,-0.21644720466341788,0.6531837362862478,0.11014466347970608,-0.5430390728065417,0.16427517011160217,-0.4500376920236436,1.1,0.08333333333333333,0.23889443893891038,0.7611055610610896,1.2422288904223926,0.07135139137683444,0.94546731661123,0.6001932393094743,0.4495750183835203
0.044999999999999984,0.6231837362862479,-0.21644720466341788,0.6681837362862478,0.11764466347970604,-0.5505390728065418,0.17177517011160218,-0.4575376920236435,1.1,0.08333333333333333,0.23617872980426058,0.7638212701957394,1.2447422920078708,0.07162411862479656,0.9507606385478079,0.5977041861998741,0.4458236131741007
0.06,0.6231837362862479,-0.21644720466341788,0.683183736286248,0.1251446634797061,-0.5580390728065419,0.17927517011160218,-0.4650376920236436,1.1,0.08333333333333333,0.23348461921300523,0.7665153807869948,1.2472649656482493,0.07189683717613504,0.9560477800861458,0.5952190588052076,0.44210984174857293
0.07500000000000001,0.6231837362862479,-0.21644720466341788,0.6981837362862477,0.13264466347970605,-0.5655390728065417,0.1867751701116022,-0.47253769202364354,1.1,0.08333333333333333,0.23081214067743272,0.7691878593225673,1.2497968955312637,0.07216953225731038,0.961328598661683,0.5927379288032435,0.4384365976274305
0.09000000000000002,0.6231837362862479,-0.21644720466341788,0.7131837362862479,0.1401446634797061,-0.5730390728065418,0.1942751701116022,-0.4800376920236436,1.1,0.08333333333333333,0.2281613230836066,0.7718386769163934,1.252338065415221,0.0724421879703856,0.9666029554621199,0.5902609725913727,0.434804805133747
0.10499999999999998,0.6231837362862479,-0.21644720466341788,0.7281837362862479,0.14764466347970606,-0.5805390728065418,0.20177517011160218,-0.48753769202364355,1.1,0.08333333333333333,0.22553219074623776,0.7744678092537622,1.2548884583761148,0.07271478945763565,0.9718707152163807,0.587788322791044,0.43121473684263867
0.12,0.6231837362862479,-0.21644720466341788,0.743183736286248,0.15514466347970612,-0.5880390728065419,0.20927517011160218,-0.4950376920236436,1.1,0.08333333333333333,0.22292476346304968,0.7770752365369503,1.257448056898013,0.07298732151988774,0.9771317462469521,0.5853202494574077,0.42766368935863985
0.135,0.6231837362862479,-0.21644720466341788,0.7581837362862478,0.16264466347970608,-0.5955390728065417,0.2167751701116022,-0.5025376920236435,1.1,0.08333333333333333,0.22033905656625408,0.7796609434337459,1.2600168429835068,0.07325976883075969,0.9823859205429311,0.5828568063880784,0.4241541606432748
0.14999999999999997,0.6231837362862479,-0.21644720466341788,0.7731837362862478,0.17014466347970603,-0.6030390728065418,0.22427517011160217,-0.5100376920236436,1.1,0.08333333333333333,0.21777508098169585,0.7822249190183042,1.262594798064236,0.07353211590269804,0.9876331136687291,0.5803982073547262,0.420687761401485
0.16499999999999998,0.6231837362862479,-0.21644720466341788,0.7881837362862479,0.1776446634797061,-0.6105390728065418,0.23177517011160217,-0.5175376920236436,1.1,0.08333333333333333,0.2152328432822671,0.7847671567177329,1.2651819029315339,0.07380434780508249,0.9928732046943106,0.577944648996947,0.41726107920272204
0.18,0.6231837362862479,-0.21644720466341788,0.8031837362862477,0.18514466347970604,-0.6180390728065417,0.23927517011160218,-0.5250376920236435,1.1,0.08333333333333333,0.21271234573589515,0.7872876542641049,1.2677781378593247,0.07407644935369073,0.9981060762825826,0.5754962026061282,0.413876671805431
0.195,0.6231837362862479,-0.21644720466341788,0.8181837362862479,0.1926446634797061,-0.6255390728065418,0.2467751701116022,-0.5325376920236435,1.1,0.08333333333333333,0.2102135863904956,0.7897864136095044,1.270383482601691,0.07434840523281827,1.0033316146327418,0.5730531219013226,0.41053267973529284
0.21000000000000002,0.6231837362862479,-0.21644720466341788,0.8331837362862479,0.20014466347970605,-0.6330390728065418,0.25427517011160217,-0.5400376920236436,1.1,0.08333333333333333,0.20773655910179578,0.7922634408982042,1.2729979162802234,0.07462020032071703,1.008549709408414,0.5706155181417847,0.40723127437235007
0.22500000000000003,0.6231837362862479,-0.21644720466341788,0.848183736286248,0.20764466347970612,-0.6405390728065419,0.2617751701116022,-0.5475376920236437,1.1,0.08333333333333333,0.2052812536066374,0.7947187463933626,1.275621417514769,0.07489181958601421,1.0137602537998616,0.5681836439421878,0.40397091685224673
0.24000000000000005,0.6231837362862479,-0.21644720466341788,0.8631837362862478,0.21514466347970607,-0.6480390728065417,0.2692751701116022,-0.5550376920236435,1.1,0.08333333333333333,0.20284765558900164,0.7971523444109984,1.2782539643729716,0.07516324788044715,1.018963144452567,0.5657575924590306,0.40075055475706245
0.25499999999999995,0.6231837362862479,-0.21644720466341788,0.8781837362862478,0.22264466347970602,-0.6555390728065418,0.27677517011160213,-0.5625376920236436,1.1,0.08333333333333333,0.20043574672875686,0.7995642532712431,1.2808955343693378,0.07543447000085446,1.0241582814564896,0.5633374958449123,0.39757379658737513
0.26999999999999996,0.6231837362862479,-0.21644720466341788,0.8931837362862479,0.23014466347970608,-0.6630390728065418,0.28427517011160214,-0.5700376920236436,1.1,0.08333333333333333,0.1980455047814491,0.8019544952185509,1.2835461044269172,0.07570547129716876,1.0293455682654258,0.5609235413246113,0.3944382103384654
0.285,0.6231837362862479,-0.21644720466341788,0.9081837362862477,0.23764466347970603,-0.6705390728065417,0.29177517011160214,-0.5775376920236435,1.1,0.08333333333333333,0.19567690362307577,0.8043230963769242,1.2862056509995048,0.07597623642390317,1.0345249117894193,0.5585159459599096,0.3913454620730952
0.3,0.6231837362862479,-0.21644720466341788,0.9231837362862477,0.24514466347970598,-0.6780390728065417,0.29927517011160215,-0.5850376920236435,1.1,0.08333333333333333,0.19332991331984906,0.8066700866801509,1.288874149983199,0.07624675082028731,1.039696222286753,0.5561148669326003,0.38829346773543705
