replicate,calibration_success,selection_feasible,objective,n_iter,error,mu1,sigma1,lam1,p1,eta1_pos,eta1_neg,mu2,sigma2,lam2,p2,eta2_pos,eta2_neg,rho,reference_H0,p_surv_at_reference_H0,p_liq_at_reference_H0,selected_H0,selected_h0,selected_initial_leverage,selected_p_surv,selected_p_liq
16,True,True,0.005572885190284185,34,,0.14741579474835742,0.23739537335268593,686.1169152690879,0.2429474288697745,0.009945759515921124,0.003791427057772828,-0.4434952422543281,0.28891638000138853,1005.6700227765349,0.16107511690545237,0.013483461813264049,0.003926252715285433,0.8694003780772527,1.1621119295105666,0.9103337464999766,0.08966625350002344,1.1574309905692848,0.14620288582235863,3.066602953889702,0.9032279430643526,0.09677205693564739
17,True,True,0.007385503665431728,27,,0.1822721400538499,0.20355181339248213,858.1788295222684,0.5716784909260967,0.009381465332010076,0.007910865914157496,-0.403336088431258,0.23309262886934576,1235.9497317472146,0.3502510242859998,0.011907320706949021,0.0066633469176521475,0.8569097818285736,1.1621119295105666,0.7436051314119508,0.25639486858804916,1.2650925862187652,0.23514531018794682,2.607940467777503,0.9041383685657631,0.09586163143423687
18,True,True,0.006526831796612711,25,,0.14247957258086963,0.20890892080219922,832.7365994980817,0.5396796468979157,0.00620710048306052,0.00460465565550546,-0.44517673824343684,0.23706480438646355,934.2354181298996,0.40688722448847214,0.01062516892078805,0.004543578151283271,0.835436726951926,1.1621119295105666,0.8832621647849734,0.11673783521502656,1.1761547463344117,0.1622504278386804,2.9689275648399467,0.9050182942545381,0.09498170574546194
19,True,True,0.00666345991344013,37,,0.13538785270235898,0.2599969236145522,1219.0954293831626,0.10145031497720215,0.006181753146062116,0.0012422612732609917,-0.39344172307022807,0.27702175959633457,1623.9628751430753,0.5107322366857341,0.008298273496152773,0.006997470668419088,0.8971736671616262,1.1621119295105666,0.8429633799488475,0.1570366200511525,1.1995594410408206,0.18195435691834863,2.859092952514709,0.9034949578171614,0.09650504218283862
20,True,True,0.01049963954539924,34,,0.17215263400252717,0.2025265718485812,1046.3767347294302,0.37391093298313277,0.009455544991928478,0.0057027540735834666,-0.38560762641416574,0.1990784078874509,1876.75330829336,0.55963513049667,0.00759578068321359,0.008667446980583247,0.926167497658516,1.1621119295105666,0.727237677698427,0.27276232230157305,1.2697735251600468,0.23883855792278066,2.592572811576767,0.9006370579365213,0.09936294206347873
21,True,True,0.00377632986476791,31,,0.15575824706506508,0.2333203853768119,587.6447055417982,0.16869107942214262,0.01568552207279937,0.004208515463759725,-0.4317547485355573,0.2701326166279402,935.5052047147902,0.3396975982332843,0.010698397912110056,0.0061249306137532745,0.8882568767471558,1.1621119295105666,0.8696035461613296,0.13039645383867038,1.1808356852756936,0.16622239567748334,2.945934527918886,0.9001249131133606,0.09987508688663937
22,True,True,0.008821702256207984,30,,0.14629634849648848,0.20669707268788423,780.8682597037266,0.42296531732720605,0.00802122668986738,0.004318675248228793,-0.3422988545630897,0.2287571408861129,1147.746149564554,0.45410261449246053,0.013252822359531919,0.01037927618655995,0.8687032522495803,1.1621119295105666,0.7131919425538479,0.2868080574461521,1.2884972809251738,0.25347664084431826,2.5339315061446284,0.904027412364707,0.09597258763529304
23,True,True,0.0070820583430248754,31,,0.15063920948407689,0.2170595638013843,709.1858829032749,0.7260813340918155,0.0059540160713651,0.008394015827905252,-0.36412511046110474,0.25716387368570304,1116.4764538605225,0.4731875498259533,0.012196111734478488,0.009382336553517093,0.9055784243215399,1.1621119295105666,0.7475096285539373,0.2524903714460627,1.2604116472774833,0.2314383717956729,2.6236075965691064,0.9008506734650028,0.0991493265349972
24,True,True,0.004378978388479464,38,,0.1387200882042581,0.26447857756445947,1580.5909314510222,0.9527107256727776,0.0014730716614183151,0.008479043875382702,-0.4575902346881841,0.3323726362295267,1819.1050794592886,0.910814271021708,0.00208980293733921,0.00702996404438286,0.8269628860043836,1.1621119295105666,0.9806106071676293,0.019389392832370733,1.1059406622151855,0.10069625086087429,3.3930736186730988,0.9095207956574607,0.09047920434253931
25,True,True,0.004581255921786019,36,,0.15236285322958693,0.2252763883403693,662.0312013662458,0.5373602460535605,0.007632486503044149,0.005999880268001551,-0.42549968027903406,0.27444619304573004,956.6034916822348,0.741146283674324,0.006430867285228786,0.01202293217978737,0.892619051032059,1.1621119295105666,0.8624659846979952,0.13753401530200482,1.1855166242169752,0.17017864938322694,2.9234723151143966,0.9016947651866991,0.09830523481330089
