diagnostic,h0,T,M,quantity,k,value,previous_value,absolute_change,relative_change,n_nodes,max_relative_root_residual,min_root_separation,min_root_pole_distance,max_barrier_condition_number,max_barrier_system_residual,n_paths,n_intervals,interval_dt_years,seed,p_surv,binomial_standard_error,confidence_level,ci_lower,ci_upper,laplace_M,laplace_p_surv,difference_from_laplace,runtime_seconds
talbot_convergence,0.06624938554120066,0.08333333333333333,12,p_surv,0,0.6166849002869799,,,,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,12,killed_moment,1,0.8061032763843249,,,,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,12,killed_moment,2,1.1014071256900106,,,,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,12,killed_moment,3,1.572967201712813,,,,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,12,killed_moment,4,2.3472026109577784,,,,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,16,p_surv,0,0.6166849102787981,0.6166849002869799,9.991818261667618e-09,1.6202469194763334e-08,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,16,killed_moment,1,0.8061033035265951,0.8061032763843249,2.7142270209168373e-08,3.367095766811095e-08,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,16,killed_moment,2,1.1014071534764722,1.1014071256900106,2.7786461576084776e-08,2.5228147001206433e-08,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,16,killed_moment,3,1.5729672304704012,1.572967201712813,2.8757588310668325e-08,1.828238233676888e-08,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,16,killed_moment,4,2.3472026410455142,2.3472026109577784,3.008773585833069e-08,1.2818550615181957e-08,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,24,p_surv,0,0.6166849102836189,0.6166849102787981,4.820810417527355e-12,7.817299137918294e-12,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,24,killed_moment,1,0.8061033035374291,0.8061033035265951,1.0834000363502128e-11,1.3439965220287776e-11,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,24,killed_moment,2,1.1014071534889696,1.1014071534764722,1.2497336498995537e-11,1.134669995505953e-11,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,24,killed_moment,3,1.5729672304644124,1.5729672304704012,5.9887650394330194e-12,3.807304388434118e-12,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,24,killed_moment,4,2.3472026408816142,2.3472026410455142,1.639000046793626e-10,6.982780345132734e-11,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,32,p_surv,0,0.6166849103073397,0.6166849102836189,2.372080309953617e-11,3.846502922815857e-11,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,32,killed_moment,1,0.8061033036043118,0.8061033035374291,6.688272158328346e-11,8.297040997627999e-11,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,32,killed_moment,2,1.1014071535304464,1.1014071534889696,4.147682197697122e-11,3.765802849928982e-11,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,32,killed_moment,3,1.5729672308696776,1.5729672304644124,4.0526515476813074e-10,2.576437365094146e-10,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,32,killed_moment,4,2.347202639793815,2.3472026408816142,1.0877991840629875e-09,4.6344493871837493e-10,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,40,p_surv,0,0.6166849095556208,0.6166849103073397,7.517189093420029e-10,1.2189675744901327e-09,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,40,killed_moment,1,0.8061033012544789,0.8061033036043118,2.349832883830061e-09,2.9150517971124857e-09,,,,,,,,,,,,,,,,,,,
