asset,n_total,n_non_jump,std_daily,annual_vol,low_q,high_q
DAI,673,659,0.0031522652422439927,0.06024456399968474,-0.010735304616951836,0.00962083938877592
WETH,673,659,0.042994924518853894,0.8216981385721918,-0.1380379027807649,0.1123582754732165
