period,n,dt,e_kappa,e_theta,e_sigma,m_kappa,m_theta,m_sigma,m_success
FULL,14465,0.00012710870116692033,63.484262265055534,0.008202553397823368,2.23378137175682,63.484262265055534,0.008202553397823368,2.23378137175682,True
Jun2020-Dec2020,4628,0.0001265220700152207,135.14456681432506,0.005281426415604082,2.850933414796693,135.14456681432506,0.005281426415604082,2.850933414796693,True
May2021,666,0.00012702942668696093,95.1192214318818,0.0048620087760586975,1.161520671648628,95.1192214318818,0.0048620087760586975,1.161520671648628,True
Dec2021-Feb2022,1933,0.00012737823439878235,47.592275493645076,0.00031447187607954954,0.8996020410027893,47.592275493645076,0.00031447187607954954,0.8996020410027893,True
