series,asset,period,n,dt,e_kappa,e_theta,e_sigma,m_kappa,m_theta,m_sigma,m_success
DAI_supply,DAI,FULL,14465,0.00012710870116692033,61.68808400531897,0.03565706545782079,1.2128017459507896,61.68808400531897,0.03565706545782079,1.2128017459507896,True
DAI_supply,DAI,Jun2020-Dec2020,4628,0.0001265220700152207,123.81689968351156,0.03133161233150603,1.3696369620674227,123.81689968351156,0.03133161233150603,1.3696369620674227,True
DAI_supply,DAI,May2021,666,0.00012702942668696093,91.71011556870006,0.03302313771293786,0.5025433800197535,91.71011556870006,0.03302313771293786,0.5025433800197535,True
DAI_supply,DAI,Dec2021-Feb2022,1933,0.00012737823439878235,47.99958447759955,0.027797814758806008,0.23459198768832903,47.99958447759955,0.027797814758806008,0.23459198768832903,True
WETH_borrow,WETH,FULL,14465,0.00012710870116692033,10.299762546048505,0.027677570080661774,0.08287708909179613,10.299762546048505,0.027677570080661774,0.08287708909179613,True
WETH_borrow,WETH,Jun2020-Dec2020,4628,0.0001265220700152207,8.468339879155659,0.02653568859307155,0.0813934816419366,8.468339879155659,0.02653568859307155,0.0813934816419366,True
WETH_borrow,WETH,May2021,666,0.00012702942668696093,536.5129879417815,0.028237564678511882,0.0945166109355142,536.5129871833021,0.028237566495519072,0.09703133021605755,True
WETH_borrow,WETH,Dec2021-Feb2022,1933,0.00012737823439878235,45.549279721951734,0.027472664610529413,0.06162135025179694,45.549279743549064,0.027473834821726512,0.06247817194344383,True
