series,asset,n_obs,dt,kappa,theta,sigma,lambda_jump,mu_jump,n_jumps
USDC_lend,USDC,26207,0.00011415525114155251,6.91095457659861,1.0061085759495494,8.504497809213586,68.18941504178272,20.57660503520497,204
WETH_borrow,WETH,26207,0.00011415525114155251,4.033758746687558,1.5289115281932841,3.520174193025244,70.1949860724234,3.422367736005516,210
