,timestamp,block,TVL_USD,supplied_USD,borrowed_USD,liquidations,token_balance,close,lender_variable_apr,lender_stable_apr,borrower_variable_apr,borrower_stable_apr
2024-06-06 15:00:00,1717685519.0,20033499.0,1.00152598,1.00152598,0.0,0.0,1e+18,1.00152598,0.0,,0.0,9.0
2024-06-06 16:00:00,1717687751.0,20033684.0,11579.592910106783,11579.592910106783,0.0,0.0,1.1561949606246642e+22,1.00152598,0.0,,0.0,9.0
2024-06-06 17:00:00,1717689959.0,20033867.0,16425.953930291813,16425.953930291813,0.0,0.0,1.6400926444555948e+22,1.00152598,0.0,,0.0,9.0
2024-06-06 18:00:00,1717696235.0,20034386.0,1312406.674658889,1312406.674658889,0.0,0.0,1.3104070197548834e+24,1.00152598,0.0,,0.0,9.0
2024-06-06 19:00:00,1717700339.0,20034726.0,11013188.70906,11013188.70906,0.0,0.0,1.0996408409754884e+25,1.00152598,0.0,,0.0,9.0
2024-06-06 20:00:00,1717700339.0,20034726.0,11013188.70906,11013188.70906,0.0,0.0,1.0996408409754884e+25,1.00152598,0.0,,0.0,9.0
2024-06-06 21:00:00,1717706279.0,20035219.0,11013188.70944014,11013188.70944014,191291.4626868528,0.0,1.0996408410134443e+25,1.00152598,0.0025455334012495,,0.195404710840711,9.19540471084071
2024-06-06 22:00:00,1717710455.0,20035566.0,11074640.30199625,11074640.30199625,276549.4686775429,0.0,1.1061366662001847e+25,1.0012,0.0052613862132182,,0.2809284485385437,9.280928448538544
2024-06-06 23:00:00,1717710455.0,20035566.0,11074640.30199625,11074640.30199625,276549.4686775429,0.0,1.1061366662001847e+25,1.0012,0.0052613862132182,,0.2809284485385437,9.280928448538544
2024-06-07 00:00:00,1717718051.0,20036198.0,11074640.44237792,11074640.44237792,278028.70598805306,0.0,1.106136680221526e+25,1.0012,0.0053178218940571,,0.2824311038303969,9.282431103830397
2024-06-07 01:00:00,1717721723.0,20036502.0,11074640.511927668,11074640.511927668,315020.25246443006,0.0,1.106136687168165e+25,1.0012,0.0068270243854038,,0.3200083839230738,9.320008383923074
2024-06-07 02:00:00,1717723415.0,20036643.0,17661051.18835511,17661051.18835511,825632.2958223044,0.0,1.7639883328361078e+25,1.0012,0.0184397075048036,,0.5259235805438407,9.525923580543841
2024-06-07 03:00:00,1717728671.0,20037076.0,17661051.731129475,17661051.731129475,1025873.0195217769,0.0,1.7639883870484894e+25,1.0012,0.0284687148840715,,0.6534758781019177,9.653475878101917
2024-06-07 04:00:00,1717732643.0,20037407.0,17662254.630569685,17662254.630569685,1285175.3298488706,0.0,1.7641085328175875e+25,1.0012,0.0446731152966601,,0.8185943619705074,9.818594361970508
2024-06-07 05:00:00,1717736303.0,20037712.0,18396253.146921434,18396253.146921434,1991667.2523535057,0.0,1.8374204101999035e+25,1.0012,0.0988982368034871,,1.2179792904858053,10.217979290485806
2024-06-07 06:00:00,1717739711.0,20037993.0,18446837.600787725,18446837.600787725,2180228.2516277614,0.0,1.8424727927274998e+25,1.0012,0.1178619930565557,,1.3296352491748764,10.329635249174876
2024-06-07 07:00:00,1717741307.0,20038126.0,18446838.70132562,18446838.70132562,2199562.84482871,0.0,1.842472902649383e+25,1.0012,0.1199616790090014,,1.3414265485426402,10.34142654854264
2024-06-07 08:00:00,1717747007.0,20038599.0,18446842.952992324,18446842.952992324,2508747.1679167533,0.0,1.8424733273064645e+25,1.0012,0.1560570198952251,,1.5299853915735198,10.52998539157352
2024-06-07 09:00:00,1717748879.0,20038755.0,20148884.717205357,20148884.717205357,2708989.520201822,0.0,2.0124735035163164e+25,1.0012,0.1525198024791773,,1.5125465405030216,10.512546540503022
2024-06-07 10:00:00,1717751807.0,20038999.0,20148887.573916927,20148887.573916927,2757391.0767263845,0.0,2.0124737888450783e+25,1.0012,0.1580185788788238,,1.539570941263298,10.539570941263298
2024-06-07 11:00:00,1717757615.0,20039482.0,20148893.56024353,20148893.56024353,2899869.818502559,0.0,2.0124743867602407e+25,1.0012,0.174770480314208,,1.6191223563131727,10.619122356313174
2024-06-07 12:00:00,1717761299.0,20039787.0,20179846.681218445,20179846.681218445,7098057.885233063,0.0,2.0155659889351223e+25,1.0012,1.0438946110748735,,3.9570720445959915,12.957072044595991
2024-06-07 13:00:00,1717764575.0,20040059.0,20179876.768052835,20179876.768052835,9963276.594186762,0.0,2.0155689940124683e+25,1.0012,2.0567439555922773,,5.55438199387512,14.55438199387512
2024-06-07 14:00:00,1717764575.0,20040059.0,20179876.768052835,20179876.768052835,9963276.594186762,0.0,2.0155689940124683e+25,1.0012,2.0567439555922773,,5.55438199387512,14.55438199387512
2024-06-07 15:00:00,1717764575.0,20040059.0,20179876.768052835,20179876.768052835,9963276.594186762,0.0,2.0155689940124683e+25,1.0012,2.0567439555922773,,5.55438199387512,14.55438199387512
2024-06-07 16:00:00,1717775435.0,20040955.0,20720668.110609226,20720668.110609226,10099492.966037573,0.0,2.0695833110876176e+25,1.0012,2.004483699375497,,5.483361696134266,14.483361696134267
2024-06-07 17:00:00,1717777103.0,20041094.0,20720690.07887241,20720690.07887241,10586946.831468614,0.0,2.0695855052809037e+25,1.0012,2.202640513335139,,5.748009020524157,14.748009020524158
2024-06-07 18:00:00,1717777103.0,20041094.0,20720690.07887241,20720690.07887241,10586946.831468614,0.0,2.0695855052809037e+25,1.0012,2.202640513335139,,5.748009020524157,14.748009020524158
2024-06-07 19:00:00,1717777103.0,20041094.0,20720690.07887241,20720690.07887241,10586946.831468614,0.0,2.0695855052809037e+25,1.0012,2.202640513335139,,5.748009020524157,14.748009020524158
2024-06-07 20:00:00,1717777103.0,20041094.0,20720690.07887241,20720690.07887241,10586946.831468614,0.0,2.0695855052809037e+25,1.0012,2.202640513335139,,5.748009020524157,14.748009020524158
2024-06-07 21:00:00,1717793915.0,20042485.0,20781428.319542248,20781428.319542248,10886164.990778003,0.0,2.075652049494831e+25,1.0012,2.315294513033664,,5.89316703441409,14.89316703441409
2024-06-07 22:00:00,1717794587.0,20042541.0,20807958.845904868,20807958.845904868,10902587.715759212,0.0,2.0783019222837464e+25,1.0012,2.316366573938413,,5.894531245915675,14.894531245915674
2024-06-07 23:00:00,1717800287.0,20043012.0,23265699.19934779,23265699.19934779,12281286.0933261,0.0,2.3235493058371908e+25,1.0013,2.3510516338972764,,5.938499348190513,14.938499348190513
2024-06-08 00:00:00,1717800287.0,20043012.0,23265699.19934779,23265699.19934779,12281286.0933261,0.0,2.3235493058371908e+25,1.0013,2.3510516338972764,,5.938499348190513,14.938499348190513
