id,parquet_file,fetched_at,symbol,chain,asset_address,frequency,blocks_per_sample,requested_days,scheduled_latest_block,scheduled_sample_count,sample_count,start_datetime,end_datetime,start_block,end_block,min_block,max_block,rpc_host,rpc_url_hash
hist_2a02b96136bc,hist_2a02b96136bc.parquet,2026-05-27T20:34:53.088Z,WETH,ethereum,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,4h,1200,90,25189091,541,541,2026-02-26T12:27:59.000Z,2026-05-27T20:34:47.000Z,24541091,25189091,24541091,25189091,mainnet.infura.io,9c5dc0ae0f12
hist_c66c279c1c66,hist_c66c279c1c66.parquet,2026-05-27T20:34:53.088Z,WBTC,ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,4h,1200,90,25189091,541,541,2026-02-26T12:27:59.000Z,2026-05-27T20:34:47.000Z,24541091,25189091,24541091,25189091,mainnet.infura.io,9c5dc0ae0f12
