entry_date,carry_pnl,carry_liq,supply_pnl,barbell_pnl,barbell_agg_liq,pred_liq_prob,pred_carry_pnl
2023-11-24,-20906.03463815304,False,1689.2761634899798,-710.2950248433917,True,0.0575,-5403.034027470488
2024-01-08,-40425.19027046117,True,2134.2786615271034,148.0273220093186,True,0.0585,-5986.148254345274
2024-02-22,-11995.550711899981,False,2155.284776544635,-79.26646660005645,True,0.0875,-8598.415256720577
2024-04-07,7235.500180056319,False,1777.1487127386063,2541.317918163031,False,0.0975,-8755.13577496472
2024-05-22,16534.815818315954,False,1537.145028682542,3636.8189392311497,False,0.152,-11025.63104272661
2024-07-06,11509.821428264113,False,1129.4777240974072,-735.4688036617972,True,0.1115,-7849.907000992421
2024-08-20,-7407.550416878657,False,1245.5618721090723,-638.3775726955646,True,0.1375,-8029.939883537518
2024-10-04,-39607.307995866286,True,2120.891733747252,-194.5338885573201,True,0.13,-6648.547828316177
2024-11-18,8161.33612281493,False,2250.234211602685,194.13574206863086,True,0.1535,-7583.368269888068
2025-01-02,22621.806296451163,False,1272.9336176230427,4261.775792658915,False,0.151,-6587.632134306753
2025-02-16,3203.867609679837,False,770.6742110007617,1111.3212868157916,False,0.095,-975.2545387416611
2025-04-02,-14815.54343021469,False,847.7791851102811,-1328.6971325282539,True,0.051,5673.26552844781
2025-05-17,-38535.589784248106,True,975.4523250749771,-883.4253299340962,True,0.1245,-974.4618800035853
2025-07-01,-40637.62776271597,True,1041.4100590033922,-854.0815099845731,True,0.109,481.1251014330847
2025-08-15,13388.753500787454,False,1050.3797681901488,2777.752090753793,False,0.229,-9889.624818470962
2025-09-29,15161.877502752795,False,934.465889619576,2926.3035154583704,False,0.2085,-7539.090987647498
2025-11-13,21111.406522584075,False,867.0792365899833,3701.285056629218,False,0.176,-3622.545372064737
2025-12-28,16693.903851415613,False,680.5468462335994,2922.416826959171,False,0.1355,-1222.6384578679977
2026-02-11,-7588.583434758642,False,778.9574297655345,-1193.9089751363936,True,0.136,-726.6382910145138
